N,K,method_id,label,throughput_mbps,se_bps_per_hz
8,50,random,Random,65.98483114679826,3.299241557339913
8,50,random,Random,86.15038202558587,4.3075191012792935
8,50,random,Random,65.80053231394334,3.2900266156971667
8,50,random,Random,44.024031053146345,2.2012015526573174
8,50,random,Random,69.92830157485473,3.4964150787427366
8,50,random,Random,13.979077527680966,0.6989538763840483
8,50,random,Random,47.867803258284894,2.393390162914245
8,50,random,Random,100.94444954085644,5.047222477042822
8,50,random,Random,73.53831585899248,3.6769157929496235
8,50,random,Random,57.28240202676455,2.8641201013382274
8,50,random,Random,36.617773794031436,1.8308886897015717
8,50,random,Random,62.246436112651665,3.1123218056325834
8,50,random,Random,107.02048743768867,5.351024371884434
8,50,random,Random,80.73952253103033,4.036976126551516
8,50,random,Random,52.44054015966649,2.6220270079833248
8,50,random,Random,36.88343542472173,1.8441717712360866
8,50,random,Random,66.3448578991905,3.317242894959525
8,50,random,Random,102.36828217960623,5.1184141089803115
8,50,random,Random,7.3618303879299845,0.3680915193964992
8,50,random,Random,101.8936559800857,5.094682799004285
8,50,random,Random,103.74722101732492,5.187361050866246
8,50,random,Random,89.36818478388864,4.468409239194432
8,50,random,Random,64.02045623234241,3.2010228116171207
8,50,random,Random,76.76127200884854,3.8380636004424264
8,50,random,Random,85.09602046036038,4.254801023018019
8,50,random,Random,84.59655436276549,4.229827718138274
8,50,random,Random,102.18579461619099,5.109289730809549
8,50,random,Random,74.51268006326796,3.725634003163398
8,50,random,Random,64.77753531354485,3.2388767656772424
8,50,random,Random,59.752316105504526,2.9876158052752264
8,50,random,Random,40.35716486832954,2.017858243416477
8,50,random,Random,64.0404311910227,3.202021559551135
8,50,random,Random,34.94541412857397,1.7472707064286985
8,50,random,Random,33.3487207578106,1.6674360378905297
8,50,random,Random,35.87871753155629,1.7939358765778146
8,50,random,Random,102.61925834264304,5.130962917132152
8,50,random,Random,74.0826551807421,3.704132759037105
8,50,random,Random,55.4344019920434,2.77172009960217
8,50,random,Random,90.29791054193716,4.514895527096858
8,50,random,Random,37.85003324413343,1.8925016622066715
8,50,random,Random,118.93044193530858,5.946522096765428
8,50,random,Random,71.4154392376934,3.57077196188467
8,50,random,Random,108.66808582712956,5.433404291356478
8,50,random,Random,71.83857590454693,3.5919287952273464
8,50,random,Random,58.17787400839388,2.9088937004196938
8,50,random,Random,99.36849291238345,4.968424645619173
8,50,random,Random,89.97923714470248,4.498961857235124
8,50,random,Random,10.59629271074419,0.5298146355372095
8,50,random,Random,46.733540534629384,2.336677026731469
8,50,random,Random,32.18788240199905,1.6093941200999524
8,50,random,Random,61.63685263821592,3.081842631910796
8,50,random,Random,50.25386883477523,2.5126934417387616
8,50,random,Random,105.38645380462026,5.2693226902310135
8,50,random,Random,25.375032923145678,1.2687516461572839
8,50,random,Random,91.99368250245581,4.599684125122791
8,50,random,Random,77.06019271495833,3.853009635747917
8,50,random,Random,89.09278552876907,4.454639276438454
8,50,random,Random,78.65310102138535,3.932655051069268
8,50,random,Random,62.13275583358208,3.106637791679104
8,50,random,Random,60.16751486563319,3.0083757432816594
8,50,random,Random,102.45564716139295,5.122782358069647
8,50,random,Random,86.69697644646476,4.334848822323238
8,50,random,Random,54.68363686266647,2.734181843133323
8,50,random,Random,101.96235080026358,5.098117540013179
8,50,random,Random,46.336103980122274,2.316805199006114
8,50,random,Random,50.607105456661465,2.530355272833073
8,50,random,Random,33.1802986486916,1.65901493243458
8,50,random,Random,51.458897415093325,2.5729448707546663
8,50,random,Random,40.08130018498086,2.004065009249043
8,50,random,Random,54.150707237320965,2.7075353618660483
8,50,random,Random,82.05132683951466,4.1025663419757326
8,50,random,Random,98.18761947346884,4.909380973673442
8,50,random,Random,103.67336066645171,5.1836680333225855
8,50,random,Random,74.9986285126965,3.7499314256348253
8,50,random,Random,78.5080375439768,3.92540187719884
8,50,random,Random,63.82762096589603,3.1913810482948017
8,50,random,Random,81.25304678107884,4.062652339053941
8,50,random,Random,66.03449803929921,3.30172490196496
8,50,random,Random,23.279024737965813,1.1639512368982905
8,50,random,Random,44.572460088269686,2.2286230044134845
8,50,random,Random,72.5403551604393,3.6270177580219647
8,50,random,Random,83.22989154708152,4.161494577354076
8,50,random,Random,110.92011572591757,5.546005786295878
8,50,random,Random,38.8108752611381,1.9405437630569051
8,50,random,Random,100.74948332947712,5.037474166473856
8,50,random,Random,99.89486511180885,4.994743255590443
8,50,random,Random,58.63595674741784,2.931797837370892
8,50,random,Random,103.22601177181602,5.161300588590801
8,50,random,Random,88.80200765177864,4.440100382588932
8,50,random,Random,70.49128055212769,3.5245640276063845
8,50,random,Random,70.95386302994737,3.5476931514973686
8,50,random,Random,68.01548828732568,3.400774414366284
8,50,random,Random,69.10327149946066,3.4551635749730334
8,50,random,Random,10.15395832627223,0.5076979163136115
8,50,random,Random,89.78016923752865,4.489008461876432
8,50,random,Random,103.52618985331696,5.176309492665848
8,50,random,Random,38.88606797075277,1.9443033985376383
8,50,random,Random,111.78539154827143,5.589269577413572
8,50,random,Random,64.37181197747384,3.218590598873692
8,50,random,Random,83.30749266264249,4.165374633132124
8,50,random,Random,65.88331267150116,3.294165633575058
8,50,random,Random,72.3538511089685,3.617692555448425
8,50,random,Random,75.35976111710269,3.767988055855135
8,50,random,Random,45.139268775689224,2.256963438784461
8,50,random,Random,68.94459934198707,3.4472299670993536
8,50,random,Random,100.95001184011724,5.047500592005862
8,50,random,Random,56.1059082116942,2.80529541058471
8,50,random,Random,91.92180424274534,4.596090212137267
8,50,random,Random,16.779131841954186,0.8389565920977093
